"season","week","gameDate","quarter","clock","gameId","playId","kteamname","rteamname","kteamscore","rteamscore","playDescription","penaltyCodes","penaltyYards","penaltyJerseyNumbers","kickLength","returner","n"
2018,1,"09/09/2018",2,":30",2018090903,1844,"TEN","MIA",3,7,"(:30) (Punt formation) B.Kern punts 55 yards to MIA 18, Center-B.Brinkley. J.Grant to MIA 17 for -1 yards (D.Fluellen).",NA,NA,NA,55,"Jakeem Grant",142
2018,1,"09/09/2018",2,"10:25",2018090912,1055,"CHI","GB",10,0,"(10:25) P.O'Donnell punts 63 yards to GB 18, Center-P.Scales. R.Cobb to GB 35 for 17 yards (B.Cunningham).",NA,NA,NA,63,"Randall Cobb",131
2018,1,"09/09/2018",2,"12:09",2018090900,1360,"BUF","BAL",0,17,"(12:09) (Punt formation) C.Bojorquez punts 50 yards to BAL 29, Center-R.Ferguson. J.Grant to BAL 30 for 1 yard (A.Holmes).",NA,NA,NA,50,"Janarion Grant",125
2018,1,"09/09/2018",2,"12:33",2018090910,1047,"DAL","CAR",0,0,"(12:33) C.Jones punts 51 yards to CAR 35, Center-L.Ladouceur. D.Byrd to DAL 35 for 30 yards (R.Smith).",NA,NA,NA,51,"Damiere Byrd",156
2018,1,"09/09/2018",2,"13:27",2018090909,918,"ARI","WAS",0,7,"(13:27) A.Lee punts 57 yards to WAS 15, Center-A.Brewer. T.Quinn to WAS 27 for 12 yards (D.Coleman).",NA,NA,NA,57,"Trey Quinn",127
2018,1,"09/09/2018",2,"14:21",2018090900,1136,"BUF","BAL",0,14,"(14:21) (Punt formation) C.Bojorquez punts 49 yards to BAL 29, Center-R.Ferguson. J.Grant to BUF 20 for 51 yards (L.Alexander).",NA,NA,NA,49,"Janarion Grant",186
2018,1,"09/09/2018",2,"2:55",2018090910,1582,"DAL","CAR",0,7,"(2:55) C.Jones punts 56 yards to CAR 8, Center-L.Ladouceur. D.Moore to CAR 23 for 15 yards (J.Olawale; K.Frazier). PENALTY on DAL-A.Brown, Unsportsmanlike Conduct, 15 yards, enforced at CAR 23.","UNS",-15,"DAL 30",56,"D.J. Moore",127
2018,1,"09/09/2018",2,"7:17",2018090905,1555,"NE","HOU",14,6,"(7:17) R.Allen punts 47 yards to HOU 23, Center-J.Cardona. T.Ervin to HOU 34 for 11 yards (J.Jones).",NA,NA,NA,47,"Tyler Ervin",108
2018,1,"09/09/2018",2,"7:20",2018090910,1329,"DAL","CAR",0,7,"(7:20) C.Jones punts 49 yards to CAR 27, Center-L.Ladouceur. D.Byrd to CAR 30 for 3 yards (J.Thomas; L.Ladouceur).",NA,NA,NA,49,"Damiere Byrd",152
2018,1,"09/09/2018",2,"7:39",2018090901,1491,"CLE","PIT",0,7,"(7:39) B.Colquitt punts 39 yards to PIT 8, Center-C.Hughlett. R.Switzer to PIT 12 for 4 yards (D.Rice).",NA,NA,NA,39,"Ryan Switzer",126
2018,1,"09/09/2018",2,"9:05",2018090912,1149,"GB","CHI",0,10,"(9:05) J.Scott punts 58 yards to CHI 15, Center-H.Bradley. T.Cohen pushed ob at GB 43 for 42 yards (H.Bradley).",NA,NA,NA,58,"Tarik Cohen",183
2018,1,"09/09/2018",2,"9:51",2018090906,1373,"NO","TB",17,17,"(9:51) T.Morstead punts 56 yards to TB 20, Center-Z.Wood. D.Jackson to TB 22 for 2 yards (C.Banjo).",NA,NA,NA,56,"DeSean Jackson",116
2018,1,"09/09/2018",3,"10:09",2018090903,2176,"MIA","TEN",7,3,"(10:09) (Punt formation) M.Haack punts 65 yards to TEN 17, Center-D.Smythe. R.Matthews to TEN 35 for 18 yards (W.Aikens).",NA,NA,NA,65,"Rishard Matthews",131
2018,1,"09/09/2018",3,"11:18",2018090909,2247,"ARI","WAS",0,21,"(11:18) A.Lee punts 57 yards to WAS 13, Center-A.Brewer. T.Quinn to WAS 25 for 12 yards (B.Benwikere). WAS-T.Quinn was injured during the play.  Penalty on WAS-T.Apke, Illegal Block Above the Waist, declined. PENALTY on WAS-F.Moreau, Unnecessary Roughness, 5 yards, enforced at WAS 13.","IBW;UNR",5,"WAS 30;WAS 31",57,"Trey Quinn",122
2018,1,"09/09/2018",3,"12:20",2018090909,2106,"WAS","ARI",21,0,"(12:20) T.Way punts 55 yards to ARI 41, Center-N.Sundberg. C.Kirk to ARI 42 for 1 yard (J.Harvey-Clemons). PENALTY on ARI-T.Boston, Offensive Holding, 10 yards, enforced at ARI 41.","OH",10,"ARI 33",55,"Christian Kirk",133
2018,1,"09/09/2018",3,"13:43",2018090902,2228,"IND","CIN",16,10,"(13:43) R.Sanchez punts 49 yards to CIN 34, Center-L.Rhodes. A.Erickson to CIN 33 for -1 yards (Z.Franklin, C.Milton).",NA,NA,NA,49,"Alex Erickson",122
2018,1,"09/09/2018",3,"13:45",2018090903,1993,"MIA","TEN",7,3,"(13:45) (Punt formation) M.Haack punts 45 yards to TEN 23, Center-J.Denney. A.Jackson to TEN 49 for 26 yards (B.Bolden). TEN-A.Jackson was injured during the play. His return is Questionable.",NA,NA,NA,45,"Adoree' Jackson",154
2018,1,"09/09/2018",3,"3:39",2018090907,2708,"NYG","JAX",9,13,"(3:39) R.Dixon punts 55 yards to JAX 20, Center-Z.DeOssie. J.Mickens to JAX 16 for -4 yards (C.Riley). PENALTY on JAX-B.Brown, Illegal Block Above the Waist, 8 yards, enforced at JAX 16. Officially, a return for 0 yards.","IBW",8,"JAX 53",55,"Jaydon Mickens",152
2018,1,"09/09/2018",3,"5:18",2018090906,2947,"NO","TB",24,34,"(5:18) T.Morstead punts 58 yards to TB 10, Center-Z.Wood. A.Humphries ran ob at TB 26 for 16 yards (C.Banjo).",NA,NA,NA,58,"Adam Humphries",123
2018,1,"09/09/2018",3,"6:18",2018090901,2632,"CLE","PIT",7,14,"(6:18) (Punt formation) B.Colquitt punts 45 yards to PIT 41, Center-C.Hughlett. R.Switzer to CLE 39 for 20 yards (D.Kindred).",NA,NA,NA,45,"Ryan Switzer",113
2018,1,"09/09/2018",3,"6:48",2018090910,2550,"CAR","DAL",10,0,"(6:48) M.Palardy punts 50 yards to DAL 30, Center-J.Jansen. T.Austin pushed ob at DAL 45 for 15 yards (I.Thomas).",NA,NA,NA,50,"Tavon Austin",140
2018,1,"09/09/2018",3,"7:42",2018090906,2776,"TB","NO",34,24,"(7:42) B.Anger punts 42 yards to NO 24, Center-G.Sanborn. T.Lewis to NO 24 for no gain (R.Smith). PENALTY on NO-C.Robertson, Offensive Holding, 10 yards, enforced at NO 24.","OH",10,"NO 52",42,"Tommylee Lewis",94
2018,1,"09/09/2018",3,"8:22",2018090900,3079,"BAL","BUF",40,0,"(8:22) (Punt formation) S.Koch punts 46 yards to BUF 31, Center-M.Cox. J.Kerley to BUF 37 for 6 yards (M.Canady).",NA,NA,NA,46,"Jeremy Kerley",135
2018,1,"09/09/2018",3,"9:21",2018090906,2681,"NO","TB",24,34,"(9:21) T.Morstead punts 42 yards to TB 24, Center-Z.Wood. A.Humphries to TB 25 for 1 yard (J.Hardee).",NA,NA,NA,42,"Adam Humphries",102
2018,1,"09/09/2018",4,"11:45",2018090903,3163,"TEN","MIA",10,17,"(11:45) (Punt formation) B.Kern punts 49 yards to MIA 9, Center-B.Brinkley. D.Amendola ran ob at MIA 11 for 2 yards (D.Cruikshank).",NA,NA,NA,49,"Danny Amendola",91
2018,1,"09/09/2018",4,"12:05",2018090900,3851,"BUF","BAL",3,40,"(12:05) (Punt formation) C.Bojorquez punts 54 yards to BAL 11, Center-R.Ferguson. J.Grant to BAL 11 for no gain (T.Jones).",NA,NA,NA,54,"Janarion Grant",100
2018,1,"09/09/2018",4,"14:47",2018090900,3655,"BAL","BUF",40,3,"(14:47) (Punt formation) S.Koch punts 50 yards to BUF 9, Center-M.Cox. M.Murphy to BUF 18 for 9 yards (M.Canady).",NA,NA,NA,50,"Marcus Murphy",131
2018,1,"09/09/2018",4,"2:20",2018090901,4136,"PIT","CLE",21,14,"(2:20) J.Berry punts 51 yards to CLE 30, Center-K.Canaday. J.Peppers to CLE 45 for 15 yards (J.Dangerfield).",NA,NA,NA,51,"Jabrill Peppers",119
2018,1,"09/09/2018",4,"4:20",2018090907,3801,"JAX","NYG",20,15,"(4:20) L.Cooke punts 47 yards to NYG 14, Center-C.Tinker. K.Clay pushed ob at NYG 19 for 5 yards (N.Paul).",NA,NA,NA,47,"Kaelin Clay",118
2018,1,"09/09/2018",4,"4:48",2018090909,3706,"WAS","ARI",24,6,"(4:48) T.Way punts 59 yards to ARI 30, Center-N.Sundberg. C.Kirk to WAS 26 for 44 yards (T.Apke).",NA,NA,NA,59,"Christian Kirk",195
2018,1,"09/09/2018",4,"5:04",2018090910,3477,"CAR","DAL",16,8,"(5:04) M.Palardy punts 52 yards to DAL 23, Center-J.Jansen. T.Austin pushed ob at DAL 21 for -2 yards (J.Norris).",NA,NA,NA,52,"Tavon Austin",123
2018,1,"09/09/2018",4,"5:27",2018090905,3749,"NE","HOU",27,13,"(5:27) R.Allen punts 55 yards to HOU 25, Center-J.Cardona. T.Ervin to HOU 34 for 9 yards (N.Ebner).",NA,NA,NA,55,"Tyler Ervin",126
2018,1,"09/09/2018",4,"7:04",2018090907,3618,"NYG","JAX",15,20,"(7:04) R.Dixon punts 54 yards to JAX 15, Center-Z.DeOssie. J.Mickens to JAX 25 for 10 yards (K.Wynn).",NA,NA,NA,54,"Jaydon Mickens",122
2018,1,"09/09/2018",4,"9:18",2018090907,3497,"JAX","NYG",20,15,"(9:18) L.Cooke punts 44 yards to NYG 27, Center-C.Tinker. K.Clay to NYG 26 for -1 yards (D.Chark).",NA,NA,NA,44,"Kaelin Clay",102
2018,1,"09/10/2018",1,"6:20",2018091001,499,"OAK","LA",7,0,"(6:20) J.Townsend punts 55 yards to LA 38, Center-A.DePaola. P.Cooper ran ob at 50 for 12 yards (M.Lee). OAK-A.DePaola was injured during the play. He is Out.",NA,NA,NA,55,"Pharoh Cooper",154
2018,1,"09/10/2018",1,"7:09",2018091000,469,"DET","NYJ",7,0,"(7:09) S.Martin punts 55 yards to NYJ 25, Center-D.Muhlbach. A.Roberts to DET 32 for 43 yards (S.Martin, T.Wilson).",NA,NA,NA,55,"Andre Roberts",159
2018,1,"09/10/2018",1,"8:47",2018091001,384,"LA","OAK",0,7,"(8:47) J.Hekker punts 62 yards to OAK 5, Center-J.McQuaide. D.Harris to OAK 15 for 10 yards (B.Countess, J.McQuaide).",NA,NA,NA,62,"Dwayne Harris",147
2018,1,"09/10/2018",2,"3:26",2018091000,1545,"DET","NYJ",7,10,"(3:26) S.Martin punts 45 yards to NYJ 35, Center-D.Muhlbach. A.Roberts to DET 49 for 16 yards (T.Wilson).",NA,NA,NA,45,"Andre Roberts",127
2018,1,"09/10/2018",3,"1:53",2018091001,2840,"OAK","LA",13,13,"(1:53) J.Townsend punts 35 yards to OAK 48, Center-L.Smith. P.Cooper to LA 49 for -3 yards (D.Harris; K.Smith). LA-P.Cooper was injured during the play. His return is Questionable.  PENALTY on LA-T.Hill, Offensive Holding, 10 yards, enforced at OAK 48.","OH",10,"LA 32",35,"Pharoh Cooper",120
2018,1,"09/10/2018",3,"7:20",2018091000,2626,"DET","NYJ",17,31,"(7:20) S.Martin punts 52 yards to NYJ 22, Center-D.Muhlbach. A.Roberts for 78 yards, TOUCHDOWN. The Replay Official reviewed the runner was inbounds ruling, and the play was Upheld. The ruling on the field was confirmed.",NA,NA,NA,52,"Andre Roberts",203
2018,2,"09/13/2018",1,"12:37",2018091300,304,"CIN","BAL",0,0,"(12:37) K.Huber punts 55 yards to BAL 20, Center-C.Harris. J.Grant to BAL 22 for 2 yards (T.McRae; C.Fejedelem). FUMBLES (T.McRae), recovered by BAL-T.Young at BAL 18. T.Young to BAL 18 for no gain (V.Rey).",NA,NA,NA,55,"Janarion Grant",145
2018,2,"09/13/2018",1,"4:06",2018091300,1023,"BAL","CIN",0,14,"(4:06) S.Koch punts 59 yards to CIN 20, Center-M.Cox. D.Phillips to CIN 28 for 8 yards (K.Young).",NA,NA,NA,59,"Darius Phillips",126
2018,2,"09/16/2018",1,":18",2018091600,773,"ATL","CAR",3,3,"(:18) M.Bosher punts 39 yards to CAR 25, Center-J.Harris. D.Moore to CAR 30 for 5 yards (J.Bethel).",NA,NA,NA,39,"D.J. Moore",94
2018,2,"09/16/2018",1,"1:01",2018091609,783,"ARI","LA",0,0,"(1:01) A.Lee punts 46 yards to LA 38, Center-A.Brewer. J.Natson ran ob at ARI 43 for 19 yards (D.Gardeck). PENALTY on LA-J.Reynolds, Illegal Block Above the Waist, 10 yards, enforced at ARI 49.","IBW",10,"LA 83",46,"JoJo Natson",127
2018,2,"09/16/2018",1,"1:50",2018091611,797,"DEN","OAK",0,3,"(1:50) M.King punts 51 yards to OAK 22, Center-C.Kreiter. J.Nelson ran ob at OAK 29 for 7 yards (Dy.Thomas).",NA,NA,NA,51,"Jordy Nelson",105
2018,2,"09/16/2018",1,"10:36",2018091606,340,"TB","PHI",7,0,"(10:36) B.Anger punts 53 yards to PHI 13, Center-G.Sanborn. C.Clement pushed ob at TB 44 for 43 yards (B.Anger). PENALTY on PHI-J.Perkins, Illegal Block Above the Waist, 10 yards, enforced at PHI 23.","IBW",10,"PHI 83",53,"Corey Clement",158
2018,2,"09/16/2018",1,"11:03",2018091601,205,"BUF","LAC",0,0,"(11:03) C.Bojorquez punts 44 yards to LAC 42, Center-R.Ferguson. J.Jones to BUF 48 for 10 yards (A.Holmes). PENALTY on BUF-L.Thomas, Offensive Holding, 10 yards, enforced at BUF 48.","OH",-10,"BUF 82",44,"J.J. Jones",103
2018,2,"09/16/2018",1,"11:48",2018091605,373,"PIT","KC",0,7,"(11:48) (Punt formation) J.Berry punts 39 yards to KC 39, Center-K.Canaday. T.Hill ran ob at KC 39 for no gain (T.Matakevich). Penalty on KC-Dam. Williams, Offensive Holding, declined. PENALTY on KC-D.Harris, Offensive Holding, 10 yards, enforced at KC 39.","OH;OH",10,"KC 26;KC 84",39,"Tyreek Hill",101
2018,2,"09/16/2018",1,"13:08",2018091606,182,"PHI","TB",0,7,"(13:08) C.Johnston punts 63 yards to TB 7, Center-R.Lovato. A.Humphries to TB 17 for 10 yards (C.Clement).",NA,NA,NA,63,"Adam Humphries",132
2018,2,"09/16/2018",1,"14:22",2018091605,145,"PIT","KC",0,0,"(14:22) (Punt formation) J.Berry punts 39 yards to KC 42, Center-K.Canaday. D.Thomas to PIT 27 for 31 yards (C.Sutton). FUMBLES (C.Sutton), and recovers at PIT 22. D.Thomas to PIT 10 for 12 yards (T.Edmunds).",NA,NA,NA,39,"De'Anthony Thomas",167
2018,2,"09/16/2018",1,"3:26",2018091611,698,"OAK","DEN",3,0,"(3:26) J.Townsend punts 56 yards to DEN 17, Center-T.Sieg. A.Jones to DEN 18 for 1 yard (D.Rodgers-Cromartie).",NA,NA,NA,56,"Adam Jones",94
2018,2,"09/16/2018",1,"5:09",2018091608,541,"IND","WAS",7,0,"(5:09) R.Sanchez punts 54 yards to WAS 32, Center-L.Rhodes. G.Stroman to WAS 38 for 6 yards (Z.Franklin, N.Goode).",NA,NA,NA,54,"Greg Stroman",123
2018,2,"09/16/2018",1,"6:14",2018091612,568,"NE","JAX",0,7,"(6:14) R.Allen punts 56 yards to JAX 11, Center-J.Cardona. J.Mickens to JAX 16 for 5 yards (J.Bentley).",NA,NA,NA,56,"Jaydon Mickens",132
2018,2,"09/16/2018",1,"6:15",2018091606,593,"PHI","TB",0,7,"(6:15) C.Johnston punts 56 yards to TB 16, Center-R.Lovato. A.Humphries to TB 15 for -1 yards (A.Maddox).",NA,NA,NA,56,"Adam Humphries",94
2018,2,"09/16/2018",1,"7:53",2018091601,426,"BUF","LAC",0,7,"(7:53) C.Bojorquez punts 42 yards to LAC 33, Center-R.Ferguson. J.Jones to LAC 39 for 6 yards (L.Thomas).",NA,NA,NA,42,"J.J. Jones",127
2018,2,"09/16/2018",2,":48",2018091603,1907,"NO","CLE",3,6,"(:48) T.Morstead punts 56 yards to CLE 17, Center-Z.Wood. J.Peppers to CLE 17 for no gain (J.Hardee). PENALTY on CLE-B.Boddy-Calhoun, Illegal Block Above the Waist, 8 yards, enforced at CLE 17.","IBW",8,"CLE 20",56,"Jabrill Peppers",114
2018,2,"09/16/2018",2,"1:01",2018091610,1960,"SF","DET",13,7,"(1:01) B.Pinion punts 59 yards to DET 37, Center-K.Nelson. J.Agnew to DET 44 for 7 yards (G.Celek). PENALTY on DET-J.Reeves-Maybin, Illegal Block Above the Waist, 10 yards, enforced at DET 44.","IBW",10,"DET 44",59,"Jamal Agnew",146
2018,2,"09/16/2018",2,"10:39",2018091610,1306,"DET","SF",7,10,"(10:39) S.Martin punts 43 yards to SF 25, Center-D.Muhlbach. D.Pettis to SF 37 for 12 yards (T.Wilson). PENALTY on SF-D.Reed, Offensive Holding, 10 yards, enforced at SF 25.","OH",10,"SF 32",43,"Dante Pettis",119
2018,2,"09/16/2018",2,"12:36",2018091613,1035,"DAL","NYG",10,0,"(12:36) (Punt formation) C.Jones punts 42 yards to NYG 21, Center-L.Ladouceur. K.Clay to NYG 26 for 5 yards (D.Wilson).",NA,NA,NA,42,"Kaelin Clay",108
2018,2,"09/16/2018",2,"13:05",2018091609,1057,"ARI","LA",0,8,"(13:05) A.Lee punts 49 yards to LA 29, Center-A.Brewer. J.Natson to LA 46 for 17 yards (E.Turner).",NA,NA,NA,49,"JoJo Natson",126
2018,2,"09/16/2018",2,"14:22",2018091604,815,"NYJ","MIA",0,7,"(14:22) L.Edwards punts 60 yards to MIA 18, Center-T.Hennessy. J.Grant pushed ob at MIA 40 for 22 yards (T.Brooks).",NA,NA,NA,60,"Jakeem Grant",136
2018,2,"09/16/2018",2,"14:30",2018091603,971,"CLE","NO",3,3,"(14:30) B.Colquitt punts 46 yards to NO 19, Center-C.Hughlett. T.Lewis to NO 19 for no gain (B.Boddy-Calhoun).",NA,NA,NA,46,"Tommylee Lewis",94
2018,2,"09/16/2018",2,"2:36",2018091606,1757,"PHI","TB",7,13,"(2:36) C.Johnston punts 51 yards to TB 19, Center-R.Lovato. D.Jackson pushed ob at TB 30 for 11 yards (K.Grugier-Hill).",NA,NA,NA,51,"DeSean Jackson",131
2018,2,"09/16/2018",2,"2:41",2018091604,1549,"NYJ","MIA",0,14,"(2:41) L.Edwards punts 60 yards to MIA 22, Center-T.Hennessy. J.Grant to MIA 38 for 16 yards (D.Middleton).",NA,NA,NA,60,"Jakeem Grant",131
2018,2,"09/16/2018",2,"2:58",2018091613,1575,"DAL","NYG",10,0,"(2:58) (Punt formation) C.Jones punts 48 yards to NYG 14, Center-L.Ladouceur. K.Clay to NYG 20 for 6 yards (J.Olawale).",NA,NA,NA,48,"Kaelin Clay",112
2018,2,"09/16/2018",2,"3:10",2018091605,1943,"KC","PIT",21,13,"(3:10) (Punt formation) D.Colquitt punts 45 yards to PIT 14, Center-J.Winchester. R.Switzer to PIT 20 for 6 yards (Dam. Williams). PENALTY on PIT-T.Matakevich, Illegal Blindside Block, 10 yards, enforced at PIT 20.","IBB",10,"PIT 44",45,"Ryan Switzer",124
2018,2,"09/16/2018",2,"3:38",2018091607,1567,"TEN","HOU",14,0,"(3:38) (Punt formation) B.Kern punts 46 yards to HOU 41, Center-B.Brinkley. T.Ervin pushed ob at HOU 47 for 6 yards (D.Cruikshank; K.Byard).",NA,NA,NA,46,"Tyler Ervin",105
2018,2,"09/16/2018",2,"4:33",2018091609,1552,"ARI","LA",0,11,"(4:33) A.Lee punts 58 yards to LA 8, Center-A.Brewer. J.Natson to ARI 32 for 60 yards (A.Lee).",NA,NA,NA,58,"JoJo Natson",174
2018,2,"09/16/2018",2,"4:37",2018091602,1446,"GB","MIN",14,7,"(4:37) J.Scott punts 59 yards to MIN 33, Center-H.Bradley. M.Sherels to MIN 46 for 13 yards (K.Toomer).",NA,NA,NA,59,"Marcus Sherels",136
2018,2,"09/16/2018",2,"8:14",2018091610,1440,"SF","DET",10,7,"(8:14) B.Pinion punts 44 yards to DET 19, Center-K.Nelson. J.Agnew to DET 19 for no gain (R.Mostert).",NA,NA,NA,44,"Jamal Agnew",94
2018,2,"09/16/2018",2,"8:57",2018091601,1289,"BUF","LAC",3,21,"(8:57) C.Bojorquez punts 50 yards to LAC 18, Center-R.Ferguson. J.Jones to LAC 19 for 1 yard (R.Humber).",NA,NA,NA,50,"J.J. Jones",170
2018,2,"09/16/2018",2,"9:06",2018091607,1227,"TEN","HOU",14,0,"(9:06) (Punt formation) B.Kern punts 50 yards to HOU 11, Center-B.Brinkley. T.Ervin to HOU 24 for 13 yards (B.Trawick). PENALTY on HOU-S.Wright, Offensive Holding, 10 yards, enforced at HOU 22.","OH",10,"HOU 43",50,"Tyler Ervin",124
2018,2,"09/16/2018",3,":17",2018091607,2794,"TEN","HOU",14,10,"(:17) (Punt formation) B.Kern punts 52 yards to HOU 31, Center-B.Brinkley. T.Ervin to HOU 30 for -1 yards (D.Cruikshank).",NA,NA,NA,52,"Tyler Ervin",93
2018,2,"09/16/2018",3,"1:37",2018091613,2608,"DAL","NYG",13,3,"(1:37) (Punt formation) C.Jones punts 47 yards to NYG 33, Center-L.Ladouceur. O.Beckham to NYG 36 for 3 yards (R.Smith).",NA,NA,NA,47,"Odell Beckham",123
2018,2,"09/16/2018",3,"12:51",2018091609,2032,"ARI","LA",0,19,"(12:51) A.Lee punts 52 yards to LA 8, Center-A.Brewer. J.Natson to LA 21 for 13 yards (R.Ford).",NA,NA,NA,52,"JoJo Natson",127
2018,2,"09/16/2018",3,"2:35",2018091609,2691,"ARI","LA",0,27,"(2:35) A.Lee punts 54 yards to LA 28, Center-A.Brewer. J.Natson to LA 41 for 13 yards (E.Turner).",NA,NA,NA,54,"JoJo Natson",126
2018,2,"09/16/2018",3,"5:04",2018091602,2412,"MIN","GB",7,20,"(5:04) M.Wile punts 46 yards to GB 24, Center-K.McDermott. R.Cobb pushed ob at GB 24 for no gain (J.Kearse).",NA,NA,NA,46,"Randall Cobb",115
2018,2,"09/16/2018",3,"5:29",2018091604,2659,"NYJ","MIA",6,20,"(5:29) L.Edwards punts 56 yards to MIA 7, Center-T.Hennessy. J.Grant to MIA 17 for 10 yards (T.Hennessy).",NA,NA,NA,56,"Jakeem Grant",122
2018,2,"09/16/2018",3,"6:02",2018091609,2352,"ARI","LA",0,19,"(6:02) A.Lee punts 58 yards to LA 27, Center-A.Brewer. J.Natson ran ob at LA 44 for 17 yards (G.Hodges).",NA,NA,NA,58,"JoJo Natson",145
2018,2,"09/16/2018",3,"6:50",2018091607,2458,"TEN","HOU",14,7,"(6:50) (Punt formation) B.Kern punts 51 yards to HOU 39, Center-B.Brinkley. T.Ervin to HOU 48 for 9 yards (B.Brinkley).",NA,NA,NA,51,"Tyler Ervin",118
2018,2,"09/16/2018",3,"7:11",2018091606,2649,"PHI","TB",7,27,"(7:11) C.Johnston punts 65 yards to TB 7, Center-R.Lovato. A.Humphries to TB 16 for 9 yards (C.Graham).",NA,NA,NA,65,"Adam Humphries",132
2018,2,"09/16/2018",4,":28",2018091606,4125,"TB","PHI",27,21,"(:28) B.Anger punts 47 yards to PHI 7, Center-G.Sanborn. C.Clement to PHI 10 for 3 yards (R.Smith).",NA,NA,NA,47,"Corey Clement",109
2018,2,"09/16/2018",4,"1:16",2018091610,4585,"SF","DET",30,27,"(1:16) B.Pinion punts 44 yards to DET 16, Center-K.Nelson. J.Agnew ran ob at DET 16 for no gain.",NA,NA,NA,44,"Jamal Agnew",106
2018,2,"09/16/2018",4,"14:21",2018091613,2715,"NYG","DAL",3,13,"(14:21) (Punt formation) R.Dixon punts 43 yards to DAL 30, Center-Z.DeOssie. T.Austin to DAL 28 for -2 yards (K.Wynn, M.Thomas). PENALTY on DAL-B.Jones, Illegal Block Above the Waist, 10 yards, enforced at DAL 28.","IBW",10,"DAL 31",43,"Tavon Austin",119
2018,2,"09/16/2018",4,"14:54",2018091610,3362,"DET","SF",13,27,"(14:54) S.Martin punts 44 yards to SF 33, Center-D.Muhlbach. D.Pettis to SF 47 for 14 yards (N.Bellore).",NA,NA,NA,44,"Dante Pettis",119
